run_id,basket_uid,baseline_tag,close_reason,close_time,main_side,final_pl_anchor,move_fav_max_1h,move_adv_max_1h,coverage_1h,move_fav_max_4h,move_adv_max_4h,coverage_4h,move_fav_max_24h,move_adv_max_24h,coverage_24h
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.18T02:54:23#254#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.18 02:55:27,SELL,407.00,59.46,2.92,1.00,59.46,8.20,1.00,59.46,49.12,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.01T02:46:04#2#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.01 05:12:16,BUY,416.00,1.11,18.21,1.00,1.11,33.79,1.00,MISSING,MISSING,0.78
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.01T05:43:39#4#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.01 06:31:40,BUY,401.00,2.48,17.22,1.00,2.48,45.84,1.00,MISSING,MISSING,0.73
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.01T12:35:01#6#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.01 12:46:27,SELL,401.00,8.25,7.59,1.00,8.25,40.95,1.00,MISSING,MISSING,0.47
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.01T13:08:59#8#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.01 14:02:01,SELL,402.00,2.00,15.12,1.00,2.00,95.73,1.00,MISSING,MISSING,0.41
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T04:47:25#10#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 05:23:27,SELL,409.00,8.73,11.93,1.00,12.14,17.21,1.00,99.16,17.21,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T05:43:25#12#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 08:27:31,SELL,408.00,10.66,3.50,1.00,24.61,3.50,1.00,97.68,3.50,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T10:49:20#14#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 10:50:31,SELL,405.00,12.08,-2.66,1.00,59.81,-1.40,1.00,85.15,-1.40,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T14:03:40#16#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 14:05:31,SELL,404.00,10.67,7.84,1.00,10.67,21.10,1.00,61.45,21.10,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T14:51:29#18#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 16:31:43,SELL,402.00,2.08,26.45,1.00,54.97,27.58,1.00,54.97,29.33,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.04T20:05:52#20#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.04 21:07:30,SELL,402.00,10.96,2.52,1.00,MISSING,MISSING,0.75,10.96,65.79,0.96
