run_id,basket_uid,baseline_tag,close_reason,final_pl_anchor,worst_prehedge,worst_posthedge,worst_lifecycle,recovery_from_worst
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T14:03:40#76#-1#1,V1_MOSTLY_IDENTICAL,basket close,404.00,-303.00,-47.00,-303.00,707
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T14:51:29#78#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-3317.00,-68.00,-3317.00,3719
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T20:05:52#80#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-1291.00,-71.00,-1291.00,1693
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T21:13:49#82#-1#1,V1_MOSTLY_IDENTICAL,basket close,406.00,-88.00,-75.00,-88.00,494
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.05T02:00:00#84#-1#1,V1_MOSTLY_IDENTICAL,basket close,406.00,-1806.00,-74.00,-1806.00,2212
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.05T20:35:26#86#-1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-284.00,-66.00,-284.00,685
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.05T21:35:00#88#-1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-1165.00,-74.00,-1165.00,1566
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.06T01:53:19#90#0#2,V1_MOSTLY_IDENTICAL,hard stop emergency close,-7369.00,-6400.00,-7392.00,-7392.00,23
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T01:05:00#94#-1#1,V1_MOSTLY_IDENTICAL,basket close,409.00,-2052.00,-78.00,-2052.00,2461
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T03:20:22#96#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-79.00,-79.00,-79.00,481
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T06:16:20#98#-1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-78.00,-78.00,-78.00,479
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T06:39:00#100#-1#1,V1_MOSTLY_IDENTICAL,basket close,407.00,-458.00,-76.00,-458.00,865
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T07:01:01#102#-1#1,V1_MOSTLY_IDENTICAL,basket close,404.00,-1051.00,-86.00,-1051.00,1455
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T07:33:21#104#-1#1,V1_MOSTLY_IDENTICAL,basket close,404.00,-168.00,-79.00,-168.00,572
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T07:41:45#106#-1#1,V1_MOSTLY_IDENTICAL,basket close,406.00,-86.00,-82.00,-86.00,492
