basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0077,in6run,BasketClose,420.00,1,0,1,1,420,420,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0078,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0079,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0080,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0081,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0082,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0083,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0084,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0085,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0086,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0087,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0088,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0089,in6run,BasketClose,402.00,0,0,1,1,402,402,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0090,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0091,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
